Iteration 1: c = [, s = Ú√Õ, state = 0
Iteration 2: c =  , s = aaexx, state = 1
Iteration 3: c = }, s = axxte, state = 1
Iteration 4: c = x, s = rersx, state = 1
Iteration 5: c = s, s = strte, state = 1
Iteration 6: c = a, s = earae, state = 1
Iteration 7: c = r, s = xaaas, state = 1
Iteration 8: c = }, s = rtsta, state = 1
Iteration 9: c = a, s = xxest, state = 1
Iteration 10: c = }, s = rsxxs, state = 1
Iteration 11: c = ], s = tstxa, state = 1
Iteration 12: c = {, s = raata, state = 1
Iteration 13: c = a, s = rstsr, state = 1
Iteration 14: c = r, s = steaa, state = 1
Iteration 15: c = ], s = taase, state = 1
Iteration 16: c = a, s = asset, state = 1
Iteration 17: c =  , s = esaxx, state = 1
Iteration 18: c = r, s = xtrsr, state = 1
Iteration 19: c = (, s = sssra, state = 1
Iteration 20: c = a, s = rtrrs, state = 2
Iteration 21: c = ), s = xrera, state = 2
Iteration 22: c = {, s = reerr, state = 2
Iteration 23: c = x, s = axrea, state = 3
Iteration 24: c = t, s = ttaax, state = 3
Iteration 25: c = a, s = xaerx, state = 3
Iteration 26: c = s, s = trase, state = 3
Iteration 27: c = (, s = saeea, state = 3
Iteration 28: c = s, s = eeasx, state = 3
Iteration 29: c = t, s = etras, state = 3
Iteration 30: c = t, s = rxeet, state = 3
Iteration 31: c = }, s = areet, state = 3
Iteration 32: c = a, s = sasst, state = 3
Iteration 33: c = ], s = rrser, state = 3
Iteration 34: c = ), s = axers, state = 3
Iteration 35: c = x, s = rrtas, state = 3
Iteration 36: c = t, s = xersr, state = 3
Iteration 37: c = {, s = tartr, state = 3
Iteration 38: c = }, s = sates, state = 3
Iteration 39: c = r, s = eseet, state = 3
Iteration 40: c = {, s = texts, state = 3
Iteration 41: c = a, s = asest, state = 3
Iteration 42: c = }, s = xttxx, state = 3
Iteration 43: c = e, s = xtrxe, state = 3
Iteration 44: c = [, s = xsxee, state = 3
Iteration 45: c = s, s = xarat, state = 3
Iteration 46: c = t, s = axarx, state = 3
Iteration 47: c = e, s = taeas, state = 3
Iteration 48: c =  , s = taxat, state = 3
Iteration 49: c = {, s = esxrs, state = 4
Iteration 50: c = r, s = rrssa, state = 4
Iteration 51: c = x, s = xestx, state = 4
Iteration 52: c = e, s = ttxrt, state = 4
Iteration 53: c =  , s = etxat, state = 4
Iteration 54: c = }, s = aaste, state = 4
Iteration 55: c = r, s = sesxx, state = 4
Iteration 56: c = {, s = srtea, state = 4
Iteration 57: c =  , s = eatrr, state = 4
Iteration 58: c = e, s = sttst, state = 4
Iteration 59: c = a, s = eeeta, state = 4
Iteration 60: c = a, s = raasa, state = 5
Iteration 61: c = r, s = sxert, state = 5
Iteration 62: c = a, s = rssse, state = 5
Iteration 63: c = a, s = atsts, state = 5
Iteration 64: c =  , s = tesss, state = 5
Iteration 65: c = t, s = aaxsa, state = 5
Iteration 66: c = [, s = srssr, state = 5
Iteration 67: c = r, s = arest, state = 5
Iteration 68: c = {, s = tsest, state = 5
Iteration 69: c = ), s = tsxtr, state = 5
Iteration 70: c = [, s = rtate, state = 5
Iteration 71: c = {, s = rxrts, state = 5
Iteration 72: c = (, s = xesre, state = 5
Iteration 73: c =  , s = errxa, state = 5
Iteration 74: c = {, s = estte, state = 5
Iteration 75: c = }, s = tattx, state = 5
Iteration 76: c = r, s = taera, state = 5
Iteration 77: c = e, s = erata, state = 5
Iteration 78: c = {, s = sxtxa, state = 5
Iteration 79: c = (, s = rrate, state = 5
Iteration 80: c = {, s = eerxa, state = 5
Iteration 81: c = a, s = aeara, state = 5
Iteration 82: c =  , s = sarst, state = 5
Iteration 83: c = t, s = aeaxa, state = 5
Iteration 84: c = ), s = trrst, state = 5
Iteration 85: c = ), s = axast, state = 5
Iteration 86: c = ), s = ararx, state = 5
Iteration 87: c = a, s = eetxr, state = 5
Iteration 88: c = s, s = sxxsa, state = 5
Iteration 89: c = x, s = xaxxx, state = 5
Iteration 90: c = ), s = rteat, state = 6
Iteration 91: c = [, s = trtaa, state = 6
Iteration 92: c =  , s = sxrrr, state = 6
Iteration 93: c = r, s = araes, state = 6
Iteration 94: c = e, s = xeeaa, state = 6
Iteration 95: c = }, s = rssxa, state = 6
Iteration 96: c = }, s = aattr, state = 7
Iteration 97: c = {, s = etrxe, state = 7
Iteration 98: c = [, s = tsree, state = 7
Iteration 99: c = e, s = aetae, state = 7
Iteration 100: c = x, s = xesrr, state = 7
Iteration 101: c = t, s = seeex, state = 7
Iteration 102: c =  , s = etsxa, state = 7
Iteration 103: c =  , s = sxsee, state = 7
Iteration 104: c = }, s = sxtrr, state = 7
Iteration 105: c = x, s = ttxtt, state = 7
Iteration 106: c =  , s = xrees, state = 7
Iteration 107: c = a, s = essts, state = 7
Iteration 108: c = (, s = ttsxe, state = 7
Iteration 109: c = e, s = aataa, state = 7
Iteration 110: c = (, s = eeeea, state = 7
Iteration 111: c = t, s = xxees, state = 7
Iteration 112: c = a, s = xsese, state = 7
Iteration 113: c = t, s = esesr, state = 7
Iteration 114: c = a, s = rstxa, state = 7
Iteration 115: c = [, s = tatst, state = 7
Iteration 116: c = s, s = taaas, state = 7
Iteration 117: c = ), s = sxeea, state = 7
Iteration 118: c = (, s = rtaer, state = 8
Iteration 119: c = e, s = eates, state = 8
Iteration 120: c = ), s = asaxt, state = 8
Iteration 121: c = ), s = seasx, state = 8
Iteration 122: c = }, s = xesrx, state = 8
Iteration 123: c = (, s = raxas, state = 8
Iteration 124: c = t, s = xssxs, state = 8
Iteration 125: c = r, s = seets, state = 8
Iteration 126: c = (, s = xtrsx, state = 8
Iteration 127: c = }, s = tsese, state = 8
Iteration 128: c = {, s = etxes, state = 8
Iteration 129: c = ], s = xsxsx, state = 8
Iteration 130: c = {, s = treae, state = 9
Iteration 131: c = s, s = eaaea, state = 9
Iteration 132: c = }, s = errxr, state = 9
Iteration 133: c = [, s = etraa, state = 9
Iteration 134: c = }, s = rsetr, state = 9
Iteration 135: c = r, s = etrar, state = 9
Iteration 136: c = e, s = satxe, state = 9
Iteration 137: c = [, s = arset, state = 9
Iteration 138: c = a, s = araea, state = 9
Iteration 139: c = [, s = axttx, state = 9
Iteration 140: c = x, s = sssre, state = 9
Iteration 141: c = s, s = aaxte, state = 9
Iteration 142: c = a, s = erxer, state = 9
Iteration 143: c = x, s = araes, state = 9
Iteration 144: c = e, s = sxase, state = 9
Iteration 145: c = a, s = sesrs, state = 9
Iteration 146: c =  , s = eteas, state = 9
Iteration 147: c = t, s = sests, state = 9
Iteration 148: c = s, s = reret, state = 9
Iteration 149: c = ), s = tarre, state = 9
Iteration 150: c = }, s = rxaxt, state = 9
Iteration 151: c = r, s = rtexs, state = 9
Iteration 152: c = }, s = xeexs, state = 9
Iteration 153: c = s, s = xxrta, state = 9
Iteration 154: c = [, s = tttxr, state = 9
Iteration 155: c = {, s = xaaer, state = 9
Iteration 156: c = a, s = esxes, state = 9
Iteration 157: c = r, s = eexas, state = 9
Iteration 158: c = ), s = tastr, state = 9
Iteration 159: c = }, s = rxaer, state = 9
Iteration 160: c = r, s = tatse, state = 9
Iteration 161: c = t, s = rsrte, state = 9
Iteration 162: c = ), s = xrtxr, state = 9
Iteration 163: c = (, s = arexr, state = 9
Iteration 164: c = t, s = eeexe, state = 9
Iteration 165: c = s, s = sesss, state = 9
Iteration 166: c = {, s = saxrr, state = 9
Iteration 167: c = ], s = atsxa, state = 9
Iteration 168: c = t, s = ttsse, state = 9
Iteration 169: c = e, s = xrrta, state = 9
Iteration 170: c = ), s = xxeee, state = 9
Iteration 171: c = }, s = ssrrr, state = 9
Iteration 172: c = (, s = raaxa, state = 9
Iteration 173: c = r, s = xaraa, state = 9
Iteration 174: c = ], s = rrxaa, state = 9
Iteration 175: c = (, s = xxtaa, state = 9
Iteration 176: c = r, s = axrre, state = 9
Iteration 177: c = t, s = ttrex, state = 9
Iteration 178: c =  , s = atxxt, state = 9
Iteration 179: c =  , s = exrar, state = 9
Iteration 180: c = s, s = seeas, state = 9
Iteration 181: c = t, s = xeese, state = 9
Iteration 182: c = t, s = seart, state = 9
Iteration 183: c = ), s = srrxr, state = 9
Iteration 184: c = ), s = ararr, state = 9
Iteration 185: c = (, s = exeae, state = 9
Iteration 186: c = s, s = rsasr, state = 9
Iteration 187: c = ], s = srerx, state = 9
Iteration 188: c = s, s = srasx, state = 9
Iteration 189: c = x, s = tsrxx, state = 9
Iteration 190: c = e, s = ssere, state = 9
Iteration 191: c = a, s = aretr, state = 9
Iteration 192: c = ], s = sexee, state = 9
Iteration 193: c = {, s = essaa, state = 9
Iteration 194: c = r, s = teext, state = 9
Iteration 195: c =  , s = areex, state = 9
Iteration 196: c = (, s = eassr, state = 9
Iteration 197: c =  , s = arrrt, state = 9
Iteration 198: c = ], s = srrtr, state = 9
Iteration 199: c =  , s = xatse, state = 9
Iteration 200: c = r, s = aetxa, state = 9
Iteration 201: c = t, s = aaera, state = 9
Iteration 202: c = t, s = taeae, state = 9
Iteration 203: c = ], s = reras, state = 9
Iteration 204: c =  , s = esxre, state = 9
Iteration 205: c = }, s = rtexe, state = 9
Iteration 206: c = {, s = xasae, state = 9
Iteration 207: c = [, s = rexat, state = 9
Iteration 208: c = t, s = xstxt, state = 9
Iteration 209: c = (, s = rttxt, state = 9
Iteration 210: c = ], s = srtsx, state = 9
Iteration 211: c = x, s = xssra, state = 9
Iteration 212: c = {, s = teata, state = 9
Iteration 213: c = {, s = sssar, state = 9
Iteration 214: c = e, s = etrax, state = 9
Iteration 215: c = (, s = eaetr, state = 9
Iteration 216: c = x, s = ataxa, state = 9
Iteration 217: c = }, s = asesr, state = 9
Iteration 218: c = s, s = axrea, state = 9
Iteration 219: c = r, s = exasr, state = 9
Iteration 220: c = }, s = eeasx, state = 9
Iteration 221: c = {, s = xeart, state = 9
Iteration 222: c = {, s = araas, state = 9
Iteration 223: c = [, s = seeta, state = 9
Iteration 224: c = [, s = xeses, state = 9
Iteration 225: c = r, s = xeaes, state = 9
Iteration 226: c = e, s = tsrrt, state = 9
Iteration 227: c = {, s = xeexe, state = 9
Iteration 228: c = x, s = rrexa, state = 9
Iteration 229: c = }, s = axerx, state = 9
Iteration 230: c = ], s = tasee, state = 9
Iteration 231: c = t, s = exxrs, state = 9
Iteration 232: c =  , s = aeeaa, state = 9
Iteration 233: c = a, s = rraat, state = 9
Iteration 234: c = e, s = arxex, state = 9
Iteration 235: c = t, s = rsaxr, state = 9
Iteration 236: c = a, s = rrxsr, state = 9
Iteration 237: c = r, s = xtaxx, state = 9
Iteration 238: c = a, s = sxrtx, state = 9
Iteration 239: c = r, s = xaxer, state = 9
Iteration 240: c = a, s = stree, state = 9
Iteration 241: c = (, s = aasxs, state = 9
Iteration 242: c =  , s = sseer, state = 9
Iteration 243: c = s, s = tseae, state = 9
Iteration 244: c = ), s = raaxr, state = 9
Iteration 245: c = s, s = txaat, state = 9
Iteration 246: c = (, s = astet, state = 9
Iteration 247: c = x, s = xrttt, state = 9
Iteration 248: c = {, s = ssrsa, state = 9
Iteration 249: c = {, s = etaea, state = 9
Iteration 250: c =  , s = ssres, state = 9
Iteration 251: c = ), s = earea, state = 9
Iteration 252: c = a, s = rrtrx, state = 9
Iteration 253: c = [, s = testx, state = 9
Iteration 254: c = e, s = xesar, state = 9
Iteration 255: c = r, s = xrtxa, state = 9
Iteration 256: c = }, s = xxxer, state = 9
Iteration 257: c = s, s = ttrrr, state = 9
Iteration 258: c =  , s = aexts, state = 9
Iteration 259: c = (, s = sttee, state = 9
Iteration 260: c =  , s = tsara, state = 9
Iteration 261: c = (, s = ssxea, state = 9
Iteration 262: c = r, s = essae, state = 9
Iteration 263: c = (, s = sesrs, state = 9
Iteration 264: c =  , s = rtsee, state = 9
Iteration 265: c = (, s = aatxs, state = 9
Iteration 266: c = s, s = extre, state = 9
Iteration 267: c = ), s = aeext, state = 9
Iteration 268: c = {, s = xstst, state = 9
Iteration 269: c = }, s = atatr, state = 9
Iteration 270: c = e, s = asrea, state = 9
Iteration 271: c = [, s = reatr, state = 9
Iteration 272: c = t, s = xassa, state = 9
Iteration 273: c =  , s = rases, state = 9
Iteration 274: c = t, s = tasra, state = 9
Iteration 275: c = (, s = aaaas, state = 9
Iteration 276: c = }, s = asret, state = 9
Iteration 277: c =  , s = satta, state = 9
Iteration 278: c = x, s = rsssa, state = 9
Iteration 279: c =  , s = exsea, state = 9
Iteration 280: c = x, s = xerer, state = 9
Iteration 281: c = ), s = xarst, state = 9
Iteration 282: c =  , s = rarat, state = 9
Iteration 283: c = s, s = rxesa, state = 9
Iteration 284: c = t, s = aexex, state = 9
Iteration 285: c = e, s = tatxx, state = 9
Iteration 286: c = a, s = rreee, state = 9
Iteration 287: c = x, s = rarrs, state = 9
Iteration 288: c = x, s = erata, state = 9
Iteration 289: c = ), s = seeea, state = 9
Iteration 290: c = {, s = rrtea, state = 9
Iteration 291: c = t, s = srxtt, state = 9
Iteration 292: c = a, s = xaset, state = 9
Iteration 293: c = [, s = txxex, state = 9
Iteration 294: c = x, s = assxx, state = 9
Iteration 295: c = ), s = reaet, state = 9
Iteration 296: c = {, s = tassa, state = 9
